PRODUCT_CATEGORY;REVENUE;STORE_LOCATION;TRANSACTION_DATE;TRANSACTION_TIME;TIME_BUCKET
Coffee beans;360.00;Hell's Kitchen;2023/06/17;10:41:11.000;01.Morning
Coffee beans;360.00;Hell's Kitchen;2023/05/17;11:18:31.000;01.Morning
Coffee beans;360.00;Hell's Kitchen;2023/05/17;09:05:20.000;01.Morning
Coffee beans;360.00;Hell's Kitchen;2023/06/17;09:55:47.000;01.Morning
Coffee beans;360.00;Hell's Kitchen;2023/06/30;11:18:31.000;01.Morning
Coffee beans;360.00;Hell's Kitchen;2023/06/17;11:18:31.000;01.Morning
Branded;72.00;Lower Manhattan;2023/06/09;09:04:04.000;01.Morning
Branded;56.00;Lower Manhattan;2023/06/09;08:49:26.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/05/30;09:48:23.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/05/16;08:36:12.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/05/19;07:33:33.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/06/23;11:04:38.000;01.Morning
Coffee beans;45.00;Astoria;2023/05/08;13:25:10.000;02.Afternoon
Coffee beans;45.00;Hell's Kitchen;2023/06/14;10:57:38.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/06/23;11:23:14.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/05/27;12:12:41.000;02.Afternoon
Coffee beans;45.00;Hell's Kitchen;2023/06/13;10:51:56.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/05/08;09:29:02.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/06/19;11:58:12.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/05/27;07:49:34.000;01.Morning
Coffee beans;45.00;Astoria;2023/06/15;19:37:12.000;01.Evening
Coffee beans;45.00;Hell's Kitchen;2023/06/21;12:03:04.000;02.Afternoon
Coffee beans;45.00;Astoria;2023/06/08;13:25:10.000;02.Afternoon
Coffee beans;45.00;Astoria;2023/05/15;18:18:51.000;01.Evening
Coffee beans;45.00;Astoria;2023/05/20;18:34:02.000;01.Evening
Coffee beans;45.00;Astoria;2023/05/19;10:58:02.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/06/10;08:20:56.000;01.Morning
Coffee beans;45.00;Astoria;2023/05/09;12:04:39.000;02.Afternoon
Coffee beans;45.00;Hell's Kitchen;2023/05/20;15:50:04.000;02.Afternoon
Coffee beans;45.00;Hell's Kitchen;2023/05/23;09:25:03.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/06/18;10:03:38.000;01.Morning
Coffee beans;45.00;Astoria;2023/06/08;08:29:59.000;01.Morning
